"FILE:VD"
"REM: RAJA              (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 15:03"
"MIN:  300NM  1.329E-03"
"MAX:  782NM  1.171E+00"
 300  1.329E-03
 302  2.527E-03
 304  4.850E-03
 306  8.469E-03
 308  1.320E-02
 310  1.936E-02
 312  2.682E-02
 314  3.440E-02
 316  4.228E-02
 318  5.005E-02
 320  5.755E-02
 322  6.539E-02
 324  7.557E-02
 326  8.824E-02
 328  1.009E-01
 330  1.099E-01
 332  1.138E-01
 334  1.147E-01
 336  1.147E-01
 338  1.168E-01
 340  1.206E-01
 342  1.228E-01
 344  1.229E-01
 346  1.220E-01
 348  1.231E-01
 350  1.254E-01
 352  1.315E-01
 354  1.345E-01
 356  1.332E-01
 358  1.307E-01
 360  1.322E-01
 362  1.403E-01
 364  1.515E-01
 366  1.620E-01
 368  1.692E-01
 370  1.690E-01
 372  1.639E-01
 374  1.607E-01
 376  1.649E-01
 378  1.714E-01
 380  1.698E-01
 382  1.614E-01
 384  1.526E-01
 386  1.559E-01
 388  1.676E-01
 390  1.766E-01
 392  1.785E-01
 394  1.768E-01
 396  1.875E-01
 398  2.171E-01
 400  2.558E-01
 402  2.863E-01
 404  3.015E-01
 406  3.061E-01
 408  3.100E-01
 410  3.174E-01
 412  3.289E-01
 414  3.383E-01
 416  3.452E-01
 418  3.495E-01
 420  3.570E-01
 422  3.624E-01
 424  3.613E-01
 426  3.656E-01
 428  3.625E-01
 430  3.554E-01
 432  3.566E-01
 434  3.740E-01
 436  3.960E-01
 438  4.208E-01
 440  4.418E-01
 442  4.581E-01
 444  4.505E-01
 446  4.565E-01
 448  4.679E-01
 450  4.988E-01
 452  5.186E-01
 454  5.031E-01
 456  4.978E-01
 458  4.898E-01
 460  4.910E-01
 462  4.925E-01
 464  4.933E-01
 466  4.922E-01
 468  4.927E-01
 470  4.981E-01
 472  5.024E-01
 474  5.105E-01
 476  5.212E-01
 478  5.306E-01
 480  5.377E-01
 482  5.362E-01
 484  5.211E-01
 486  5.111E-01
 488  5.077E-01
 490  5.144E-01
 492  5.300E-01
 494  5.386E-01
 496  5.447E-01
 498  5.539E-01
 500  5.508E-01
 502  5.560E-01
 504  5.443E-01
 506  5.499E-01
 508  5.565E-01
 510  5.668E-01
 512  5.694E-01
 514  5.640E-01
 516  5.599E-01
 518  5.460E-01
 520  5.608E-01
 522  5.951E-01
 524  5.907E-01
 526  5.829E-01
 528  5.905E-01
 530  5.994E-01
 532  6.072E-01
 534  6.159E-01
 536  6.226E-01
 538  6.268E-01
 540  6.247E-01
 542  6.208E-01
 544  6.174E-01
 546  6.174E-01
 548  6.191E-01
 550  6.233E-01
 552  6.284E-01
 554  6.328E-01
 556  6.343E-01
 558  6.324E-01
 560  6.090E-01
 562  6.119E-01
 564  6.148E-01
 566  6.148E-01
 568  6.130E-01
 570  6.102E-01
 572  6.096E-01
 574  6.107E-01
 576  6.112E-01
 578  6.113E-01
 580  6.140E-01
 582  6.185E-01
 584  6.208E-01
 586  6.151E-01
 588  6.022E-01
 590  5.855E-01
 592  5.772E-01
 594  5.838E-01
 596  5.894E-01
 598  5.939E-01
 600  6.024E-01
 602  6.066E-01
 604  6.111E-01
 606  6.129E-01
 608  6.129E-01
 610  6.119E-01
 612  6.097E-01
 614  6.061E-01
 616  6.036E-01
 618  6.041E-01
 620  6.063E-01
 622  6.062E-01
 624  6.029E-01
 626  5.970E-01
 628  5.921E-01
 630  5.900E-01
 632  5.903E-01
 634  5.945E-01
 636  6.010E-01
 638  6.047E-01
 640  6.061E-01
 642  6.055E-01
 644  6.017E-01
 646  5.955E-01
 648  5.881E-01
 650  5.826E-01
 652  5.796E-01
 654  5.744E-01
 656  5.670E-01
 658  5.656E-01
 660  5.749E-01
 662  5.890E-01
 664  5.983E-01
 666  5.996E-01
 668  6.008E-01
 670  6.004E-01
 672  5.990E-01
 674  5.978E-01
 676  5.979E-01
 678  5.990E-01
 680  5.980E-01
 682  5.947E-01
 684  5.862E-01
 686  5.623E-01
 688  5.355E-01
 690  5.248E-01
 692  5.324E-01
 694  5.498E-01
 696  5.686E-01
 698  5.840E-01
 700  5.964E-01
 702  6.088E-01
 704  6.258E-01
 706  6.485E-01
 708  6.724E-01
 710  6.945E-01
 712  7.129E-01
 714  7.134E-01
 716  6.901E-01
 718  6.516E-01
 720  6.295E-01
 722  6.411E-01
 724  6.656E-01
 726  6.839E-01
 728  7.022E-01
 730  7.341E-01
 732  7.865E-01
 734  8.520E-01
 736  9.104E-01
 738  9.538E-01
 740  9.880E-01
 742  1.019E+00
 744  1.050E+00
 746  1.080E+00
 748  1.107E+00
 750  1.128E+00
 752  1.143E+00
 754  1.149E+00
 756  1.130E+00
 758  1.036E+00
 760  8.542E-01
 762  6.738E-01
 764  6.103E-01
 766  7.059E-01
 768  8.812E-01
 770  1.032E+00
 772  1.119E+00
 774  1.154E+00
 776  1.161E+00
 778  1.166E+00
 780  1.170E+00
 782  1.171E+00
 784  1.169E+00
 786  1.163E+00
 788  1.148E+00
 790  1.128E+00
 792  1.116E+00
 794  1.109E+00
 796  1.110E+00
 798  1.110E+00
 800  1.109E+00
