"FILE:IIG"
"REM: METSA             (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 14:15"
"MIN:  300NM  1.518E-04"
"MAX:  784NM  3.552E-01"
 300  1.518E-04
 302  4.029E-04
 304  5.311E-04
 306  1.131E-03
 308  1.397E-03
 310  2.036E-03
 312  2.610E-03
 314  3.309E-03
 316  3.885E-03
 318  4.611E-03
 320  5.192E-03
 322  5.752E-03
 324  6.509E-03
 326  7.561E-03
 328  8.498E-03
 330  9.146E-03
 332  9.216E-03
 334  9.213E-03
 336  9.164E-03
 338  9.241E-03
 340  9.368E-03
 342  9.541E-03
 344  9.295E-03
 346  9.173E-03
 348  9.124E-03
 350  9.193E-03
 352  9.503E-03
 354  9.721E-03
 356  9.485E-03
 358  9.218E-03
 360  9.236E-03
 362  9.625E-03
 364  1.026E-02
 366  1.092E-02
 368  1.128E-02
 370  1.115E-02
 372  1.070E-02
 374  1.047E-02
 376  1.054E-02
 378  1.083E-02
 380  1.073E-02
 382  1.005E-02
 384  9.419E-03
 386  9.459E-03
 388  1.013E-02
 390  1.056E-02
 392  1.052E-02
 394  1.025E-02
 396  1.076E-02
 398  1.222E-02
 400  1.426E-02
 402  1.587E-02
 404  1.657E-02
 406  1.673E-02
 408  1.679E-02
 410  1.708E-02
 412  1.751E-02
 414  1.783E-02
 416  1.804E-02
 418  1.804E-02
 420  1.823E-02
 422  1.838E-02
 424  1.855E-02
 426  1.849E-02
 428  1.814E-02
 430  1.750E-02
 432  1.795E-02
 434  1.890E-02
 436  1.952E-02
 438  2.016E-02
 440  2.078E-02
 442  2.156E-02
 444  2.224E-02
 446  2.234E-02
 448  2.288E-02
 450  2.356E-02
 452  2.369E-02
 454  2.359E-02
 456  2.327E-02
 458  2.344E-02
 460  2.338E-02
 462  2.356E-02
 464  2.344E-02
 466  2.294E-02
 468  2.253E-02
 470  2.247E-02
 472  2.249E-02
 474  2.319E-02
 476  2.352E-02
 478  2.369E-02
 480  2.359E-02
 482  2.365E-02
 484  2.294E-02
 486  2.249E-02
 488  2.213E-02
 490  2.233E-02
 492  2.284E-02
 494  2.312E-02
 496  2.316E-02
 498  2.326E-02
 500  2.334E-02
 502  2.308E-02
 504  2.326E-02
 506  2.361E-02
 508  2.422E-02
 510  2.472E-02
 512  2.503E-02
 514  2.551E-02
 516  2.553E-02
 518  2.589E-02
 520  2.691E-02
 522  2.832E-02
 524  2.983E-02
 526  3.129E-02
 528  3.255E-02
 530  3.380E-02
 532  3.474E-02
 534  3.569E-02
 536  3.643E-02
 538  3.695E-02
 540  3.713E-02
 542  3.706E-02
 544  3.708E-02
 546  3.731E-02
 548  3.740E-02
 550  3.784E-02
 552  3.815E-02
 554  3.850E-02
 556  3.854E-02
 558  3.834E-02
 560  3.672E-02
 562  3.674E-02
 564  3.658E-02
 566  3.567E-02
 568  3.487E-02
 570  3.407E-02
 572  3.345E-02
 574  3.303E-02
 576  3.267E-02
 578  3.224E-02
 580  3.147E-02
 582  3.119E-02
 584  3.087E-02
 586  3.044E-02
 588  2.950E-02
 590  2.858E-02
 592  2.811E-02
 594  2.807E-02
 596  2.837E-02
 598  2.838E-02
 600  2.846E-02
 602  2.865E-02
 604  2.879E-02
 606  2.880E-02
 608  2.864E-02
 610  2.844E-02
 612  2.832E-02
 614  2.777E-02
 616  2.730E-02
 618  2.723E-02
 620  2.725E-02
 622  2.712E-02
 624  2.721E-02
 626  2.667E-02
 628  2.618E-02
 630  2.579E-02
 632  2.575E-02
 634  2.567E-02
 636  2.553E-02
 638  2.539E-02
 640  2.533E-02
 642  2.496E-02
 644  2.496E-02
 646  2.419E-02
 648  2.327E-02
 650  2.269E-02
 652  2.259E-02
 654  2.261E-02
 656  2.255E-02
 658  2.228E-02
 660  2.225E-02
 662  2.234E-02
 664  2.185E-02
 666  2.186E-02
 668  2.139E-02
 670  2.098E-02
 672  2.143E-02
 674  2.164E-02
 676  2.147E-02
 678  2.066E-02
 680  2.150E-02
 682  2.154E-02
 684  2.214E-02
 686  2.193E-02
 688  2.136E-02
 690  2.175E-02
 692  2.383E-02
 694  2.683E-02
 696  3.020E-02
 698  3.420E-02
 700  3.826E-02
 702  4.318E-02
 704  4.958E-02
 706  5.766E-02
 708  6.539E-02
 710  7.280E-02
 712  8.046E-02
 714  8.716E-02
 716  9.115E-02
 718  9.328E-02
 720  9.804E-02
 722  1.075E-01
 724  1.195E-01
 726  1.308E-01
 728  1.428E-01
 730  1.577E-01
 732  1.751E-01
 734  1.974E-01
 736  2.170E-01
 738  2.349E-01
 740  2.486E-01
 742  2.625E-01
 744  2.762E-01
 746  2.894E-01
 748  3.008E-01
 750  3.107E-01
 752  3.183E-01
 754  3.230E-01
 756  3.211E-01
 758  2.992E-01
 760  2.523E-01
 762  2.036E-01
 764  1.885E-01
 766  2.152E-01
 768  2.674E-01
 770  3.092E-01
 772  3.347E-01
 774  3.454E-01
 776  3.473E-01
 778  3.501E-01
 780  3.523E-01
 782  3.538E-01
 784  3.552E-01
 786  3.547E-01
 788  3.523E-01
 790  3.488E-01
 792  3.464E-01
 794  3.456E-01
 796  3.470E-01
 798  3.488E-01
 800  3.499E-01
