"FILE:VIG"
"REM: METSA             (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 14:50"
"MIN:  300NM  4.176E-04"
"MAX:  784NM  5.306E-01"
 300  4.176E-04
 302  8.789E-04
 304  1.699E-03
 306  2.709E-03
 308  4.424E-03
 310  6.366E-03
 312  8.647E-03
 314  1.115E-02
 316  1.369E-02
 318  1.602E-02
 320  1.826E-02
 322  2.066E-02
 324  2.355E-02
 326  2.719E-02
 328  3.094E-02
 330  3.333E-02
 332  3.438E-02
 334  3.421E-02
 336  3.396E-02
 338  3.406E-02
 340  3.497E-02
 342  3.530E-02
 344  3.498E-02
 346  3.433E-02
 348  3.426E-02
 350  3.460E-02
 352  3.581E-02
 354  3.617E-02
 356  3.554E-02
 358  3.455E-02
 360  3.455E-02
 362  3.596E-02
 364  3.857E-02
 366  4.104E-02
 368  4.243E-02
 370  4.190E-02
 372  4.024E-02
 374  3.911E-02
 376  3.971E-02
 378  4.084E-02
 380  4.006E-02
 382  3.766E-02
 384  3.534E-02
 386  3.584E-02
 388  3.810E-02
 390  3.986E-02
 392  3.998E-02
 394  3.928E-02
 396  4.129E-02
 398  4.714E-02
 400  5.520E-02
 402  6.133E-02
 404  6.402E-02
 406  6.443E-02
 408  6.471E-02
 410  6.579E-02
 412  6.742E-02
 414  6.877E-02
 416  6.934E-02
 418  6.944E-02
 420  6.947E-02
 422  6.964E-02
 424  6.958E-02
 426  6.887E-02
 428  6.710E-02
 430  6.581E-02
 432  6.653E-02
 434  6.970E-02
 436  7.307E-02
 438  7.532E-02
 440  7.708E-02
 442  7.922E-02
 444  8.137E-02
 446  8.307E-02
 448  8.473E-02
 450  8.602E-02
 452  8.656E-02
 454  8.615E-02
 456  8.577E-02
 458  8.605E-02
 460  8.605E-02
 462  8.613E-02
 464  8.578E-02
 466  8.516E-02
 468  8.454E-02
 470  8.462E-02
 472  8.519E-02
 474  8.595E-02
 476  8.677E-02
 478  8.755E-02
 480  8.809E-02
 482  8.768E-02
 484  8.579E-02
 486  8.376E-02
 488  8.278E-02
 490  8.366E-02
 492  8.509E-02
 494  8.620E-02
 496  8.677E-02
 498  8.672E-02
 500  8.612E-02
 502  8.566E-02
 504  8.614E-02
 506  8.752E-02
 508  8.875E-02
 510  8.955E-02
 512  9.028E-02
 514  9.031E-02
 516  8.962E-02
 518  8.975E-02
 520  9.184E-02
 522  9.538E-02
 524  9.883E-02
 526  1.013E-01
 528  1.035E-01
 530  1.061E-01
 532  1.088E-01
 534  1.111E-01
 536  1.128E-01
 538  1.137E-01
 540  1.137E-01
 542  1.129E-01
 544  1.124E-01
 546  1.123E-01
 548  1.127E-01
 550  1.133E-01
 552  1.142E-01
 554  1.150E-01
 556  1.148E-01
 558  1.141E-01
 560  1.089E-01
 562  1.086E-01
 564  1.084E-01
 566  1.074E-01
 568  1.059E-01
 570  1.044E-01
 572  1.030E-01
 574  1.018E-01
 576  1.005E-01
 578  9.950E-02
 580  9.882E-02
 582  9.857E-02
 584  9.827E-02
 586  9.698E-02
 588  9.445E-02
 590  9.192E-02
 592  9.075E-02
 594  9.095E-02
 596  9.164E-02
 598  9.207E-02
 600  9.231E-02
 602  9.250E-02
 604  9.264E-02
 606  9.259E-02
 608  9.212E-02
 610  9.109E-02
 612  8.970E-02
 614  8.851E-02
 616  8.754E-02
 618  8.697E-02
 620  8.681E-02
 622  8.661E-02
 624  8.602E-02
 626  8.505E-02
 628  8.426E-02
 630  8.380E-02
 632  8.372E-02
 634  8.416E-02
 636  8.439E-02
 638  8.454E-02
 640  8.401E-02
 642  8.292E-02
 644  8.164E-02
 646  8.028E-02
 648  7.858E-02
 650  7.716E-02
 652  7.644E-02
 654  7.547E-02
 656  7.394E-02
 658  7.312E-02
 660  7.349E-02
 662  7.418E-02
 664  7.473E-02
 666  7.458E-02
 668  7.419E-02
 670  7.390E-02
 672  7.349E-02
 674  7.326E-02
 676  7.300E-02
 678  7.295E-02
 680  7.243E-02
 682  7.230E-02
 684  7.152E-02
 686  6.969E-02
 688  6.797E-02
 690  6.868E-02
 692  7.251E-02
 694  7.865E-02
 696  8.572E-02
 698  9.318E-02
 700  1.011E-01
 702  1.099E-01
 704  1.202E-01
 706  1.320E-01
 708  1.447E-01
 710  1.575E-01
 712  1.706E-01
 714  1.805E-01
 716  1.852E-01
 718  1.855E-01
 720  1.900E-01
 722  2.031E-01
 724  2.206E-01
 726  2.370E-01
 728  2.529E-01
 730  2.736E-01
 732  3.011E-01
 734  3.323E-01
 736  3.618E-01
 738  3.856E-01
 740  4.050E-01
 742  4.228E-01
 744  4.409E-01
 746  4.580E-01
 748  4.734E-01
 750  4.856E-01
 752  4.948E-01
 754  5.005E-01
 756  4.949E-01
 758  4.575E-01
 760  3.822E-01
 762  3.073E-01
 764  2.830E-01
 766  3.254E-01
 768  4.014E-01
 770  4.658E-01
 772  5.038E-01
 774  5.196E-01
 776  5.229E-01
 778  5.259E-01
 780  5.281E-01
 782  5.299E-01
 784  5.306E-01
 786  5.288E-01
 788  5.244E-01
 790  5.186E-01
 792  5.138E-01
 794  5.122E-01
 796  5.137E-01
 798  5.156E-01
 800  5.163E-01
