"FILE:IID"
"REM: METSANREUNA       (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:06/29 14:26"
"MIN:  300NM  4.631E-03"
"MAX:  754NM  6.120E+00"
 300  4.631E-03
 302  9.705E-03
 304  1.837E-02
 306  3.096E-02
 308  4.846E-02
 310  7.045E-02
 312  9.713E-02
 314  1.253E-01
 316  1.547E-01
 318  1.851E-01
 320  2.163E-01
 322  2.505E-01
 324  2.939E-01
 326  3.493E-01
 328  4.043E-01
 330  4.428E-01
 332  4.647E-01
 334  4.706E-01
 336  4.745E-01
 338  4.858E-01
 340  5.065E-01
 342  5.219E-01
 344  5.283E-01
 346  5.318E-01
 348  5.455E-01
 350  5.555E-01
 352  5.885E-01
 354  6.091E-01
 356  6.106E-01
 358  6.064E-01
 360  6.221E-01
 362  6.653E-01
 364  7.297E-01
 366  7.958E-01
 368  8.438E-01
 370  8.558E-01
 372  8.407E-01
 374  8.363E-01
 376  8.670E-01
 378  9.088E-01
 380  9.040E-01
 382  8.572E-01
 384  8.189E-01
 386  8.416E-01
 388  9.106E-01
 390  9.689E-01
 392  9.926E-01
 394  9.967E-01
 396  1.071E+00
 398  1.233E+00
 400  1.466E+00
 402  1.655E+00
 404  1.751E+00
 406  1.792E+00
 408  1.833E+00
 410  1.900E+00
 412  1.983E+00
 414  2.064E+00
 416  2.118E+00
 418  2.154E+00
 420  2.172E+00
 422  2.193E+00
 424  2.205E+00
 426  2.192E+00
 428  2.147E+00
 430  2.115E+00
 432  2.151E+00
 434  2.271E+00
 436  2.402E+00
 438  2.508E+00
 440  2.593E+00
 442  2.690E+00
 444  2.791E+00
 446  2.884E+00
 448  2.983E+00
 450  3.077E+00
 452  3.140E+00
 454  3.167E+00
 456  3.206E+00
 458  3.271E+00
 460  3.325E+00
 462  3.379E+00
 464  3.412E+00
 466  3.436E+00
 468  3.455E+00
 470  3.488E+00
 472  3.549E+00
 474  3.615E+00
 476  3.679E+00
 478  3.734E+00
 480  3.776E+00
 482  3.777E+00
 484  3.711E+00
 486  3.641E+00
 488  3.623E+00
 490  3.684E+00
 492  3.770E+00
 494  3.837E+00
 496  3.879E+00
 498  3.884E+00
 500  3.858E+00
 502  3.861E+00
 504  3.907E+00
 506  3.981E+00
 508  4.064E+00
 510  4.122E+00
 512  4.152E+00
 514  4.122E+00
 516  4.050E+00
 518  3.991E+00
 520  4.008E+00
 522  4.085E+00
 524  4.166E+00
 526  4.217E+00
 528  4.260E+00
 530  4.335E+00
 532  4.433E+00
 534  4.533E+00
 536  4.608E+00
 538  4.647E+00
 540  4.655E+00
 542  4.643E+00
 544  4.651E+00
 546  4.669E+00
 548  4.701E+00
 550  4.740E+00
 552  4.785E+00
 554  4.813E+00
 556  4.772E+00
 558  4.713E+00
 560  4.262E+00
 562  4.282E+00
 564  4.299E+00
 566  4.297E+00
 568  4.287E+00
 570  4.292E+00
 572  4.296E+00
 574  4.299E+00
 576  4.290E+00
 578  4.255E+00
 580  4.229E+00
 582  4.193E+00
 584  4.155E+00
 586  4.085E+00
 588  3.977E+00
 590  3.883E+00
 592  3.851E+00
 594  3.868E+00
 596  3.906E+00
 598  3.934E+00
 600  3.987E+00
 602  4.040E+00
 604  4.097E+00
 606  4.159E+00
 608  4.211E+00
 610  4.241E+00
 612  4.267E+00
 614  4.302E+00
 616  4.359E+00
 618  4.421E+00
 620  4.507E+00
 622  4.602E+00
 624  4.667E+00
 626  4.704E+00
 628  4.719E+00
 630  4.745E+00
 632  4.789E+00
 634  4.839E+00
 636  4.895E+00
 638  4.935E+00
 640  4.963E+00
 642  4.971E+00
 644  4.962E+00
 646  4.938E+00
 648  4.911E+00
 650  4.911E+00
 652  4.925E+00
 654  4.914E+00
 656  4.895E+00
 658  4.934E+00
 660  5.062E+00
 662  5.188E+00
 664  5.251E+00
 666  5.257E+00
 668  5.240E+00
 670  5.227E+00
 672  5.215E+00
 674  5.190E+00
 676  5.167E+00
 678  5.154E+00
 680  5.213E+00
 682  5.214E+00
 684  5.147E+00
 686  4.986E+00
 688  4.793E+00
 690  4.717E+00
 692  4.781E+00
 694  4.920E+00
 696  5.030E+00
 698  5.111E+00
 700  5.152E+00
 702  5.185E+00
 704  5.249E+00
 706  5.338E+00
 708  5.420E+00
 710  5.468E+00
 712  5.468E+00
 714  5.388E+00
 716  5.153E+00
 718  4.825E+00
 720  4.581E+00
 722  4.527E+00
 724  4.575E+00
 726  4.583E+00
 728  4.580E+00
 730  4.654E+00
 732  4.836E+00
 734  5.079E+00
 736  5.296E+00
 738  5.451E+00
 740  5.546E+00
 742  5.631E+00
 744  5.741E+00
 746  5.857E+00
 748  5.962E+00
 750  6.040E+00
 752  6.104E+00
 754  6.120E+00
 756  6.009E+00
 758  5.518E+00
 760  4.584E+00
 762  3.675E+00
 764  3.366E+00
 766  3.833E+00
 768  4.668E+00
 770  5.364E+00
 772  5.749E+00
 774  5.899E+00
 776  5.886E+00
 778  5.918E+00
 780  5.948E+00
 782  5.965E+00
 784  5.974E+00
 786  5.946E+00
 788  5.891E+00
 790  5.838E+00
 792  5.791E+00
 794  5.784E+00
 796  5.798E+00
 798  5.825E+00
 800  5.833E+00
